BookYear,Petrels,DaysSept1,Time
1993,12,158,PM
1994,0,158,PM
1995,1,158,PM
1996,9,158,PM
1996,0,158,PM
1999,26,158,PM
2000,0,158,PM
2015,0,158,PM
1989,15,158,AM
1991,0,158,AM
1993,0,158,AM
1994,14,158,AM
1995,9,158,AM
1998,26,158,AM
1999,5,158,AM
2002,13,158,AM
2003,7,158,AM
2004,10,158,AM
2006,11,158,AM
2013,12,158,AM
2014,9,158,AM
2015,8,158,AM
2016,4,158,AM
2018,13,158,AM
2021,1,158,AM
1989,20,159,PM
1993,12,159,PM
1994,3,159,PM
1996,9,159,PM
1997,3,159,PM
1998,6,159,PM
2003,44,159,PM
2008,1,159,PM
2009,0,159,PM
2017,1,159,PM
2020,0,159,PM
1989,26,159,AM
1990,9,159,AM
1992,0,159,AM
1993,0,159,AM
1995,9,159,AM
1996,3,159,AM
1997,16,159,AM
2000,4,159,AM
2001,2,159,AM
2005,4,159,AM
2007,1,159,AM
2008,13,159,AM
2009,1,159,AM
2010,0,159,AM
2012,4,159,AM
2015,4,159,AM
2016,3,159,AM
2017,15,159,AM
2018,6,159,AM
2019,1,159,AM
2022,3,159,AM
1994,0,160,PM
1995,1,160,PM
2004,2,160,PM
2013,0,160,PM
2016,2,160,PM
2018,1,160,PM
1989,5,160,AM
1990,27,160,AM
1993,0,160,AM
1994,8,160,AM
1998,2,160,AM
2002,12,160,AM
2004,1,160,AM
2006,3,160,AM
2013,2,160,AM
2014,3,160,AM
2015,2,160,AM
