BookYear,JulianDay,DaysSept1,DateFull,Weightkg
2017,31,173,1/31/18,3.35
2018,31,173,1/31/19,2.95
2018,31,173,1/31/19,2.85
2018,31,173,1/31/19,2.8
2018,31,173,1/31/19,2.63
2018,31,173,1/31/19,3.1
2018,31,173,1/31/19,2.8
2018,31,173,1/31/19,2.65
2018,31,173,1/31/19,3
2018,31,173,1/31/19,2.7
2018,31,173,1/31/19,3.55
2018,31,173,1/31/19,3.05
2018,31,173,1/31/19,3.35
2018,31,173,1/31/19,3.05
2018,31,173,1/31/19,2.9
2021,31,173,1/31/22,3.15
2021,31,173,1/31/22,2.35
2021,31,173,1/31/22,2.75
2021,31,173,1/31/22,2.8
2021,31,173,1/31/22,2.95
2021,31,173,1/31/22,2.85
2021,31,173,1/31/22,2.7
2021,31,173,1/31/22,2.8
2021,31,173,1/31/22,3.05
2021,31,173,1/31/22,3.15
2021,31,173,1/31/22,3.35
2022,31,173,1/31/23,2.7
2022,31,173,1/31/23,3.4
2022,31,173,1/31/23,3.2
2022,31,173,1/31/23,3.45
2022,31,173,1/31/23,2.55
2022,31,173,1/31/23,2.9
2022,31,173,1/31/23,2.8
2022,31,173,1/31/23,3.25
2022,31,173,1/31/23,2.9
2022,31,173,1/31/23,2.6
2022,31,173,1/31/23,2.6
2022,31,173,1/31/23,3.05
2007,32,174,2/1/08,3.75
2007,32,174,2/1/08,2.65
2007,32,174,2/1/08,3.4
2007,32,174,2/1/08,3
2007,32,174,2/1/08,3.35
2007,32,174,2/1/08,3.35
2007,32,174,2/1/08,2.825
2007,32,174,2/1/08,3.35
2007,32,174,2/1/08,3.6
2007,32,174,2/1/08,3.05
2007,32,174,2/1/08,3
2007,32,174,2/1/08,3.5
2007,32,174,2/1/08,3
2007,32,174,2/1/08,2.925
2007,32,174,2/1/08,3.2
2007,32,174,2/1/08,2.95
2008,32,174,2/1/09,2.525
2008,32,174,2/1/09,1.925
2008,32,174,2/1/09,2.9
2008,32,174,2/1/09,2.6
2008,32,174,2/1/09,2.7
2008,32,174,2/1/09,2.8
2008,32,174,2/1/09,3.05
2008,32,174,2/1/09,2.775
2008,32,174,2/1/09,2.825
2008,32,174,2/1/09,2.5
2008,32,174,2/1/09,3.45
2008,32,174,2/1/09,2.6
2008,32,174,2/1/09,3
